label,rank,gene,scores,pval,qval,log2fc,mean_in_norm,mean_out_norm,pct_in,pct_out,auc_norm_expr,cells_in_label,label_frequency
DC1,1,C1ORF54,19.974752,9.133496112215154e-89,1.6717168285061714e-84,6.5973153,7.57118,0.07819407,0.97590363,0.059548255,0.9843955,166,0.1456140350877193
DC1,2,CLEC9A,19.944658,1.6678807028895254e-88,1.6717168285061714e-84,2.5285633,3.7297492,0.64640725,0.97590363,0.040041067,0.98366565,166,0.1456140350877193
DC1,3,HLA-DPA1,19.63376,7.960098083521366e-86,5.318937539408976e-82,1.8979408,124.28646,33.3493,1.0,0.9486653,0.97612625,166,0.1456140350877193
DC1,4,CADM1,19.444262,3.259291481063183e-84,1.6333939257348141e-80,7.362466,2.4626856,0.014965317,0.9518072,0.034907598,0.9715309,166,0.1456140350877193
DC1,5,HLA-DPB2,19.356783,1.7870504596242722e-83,7.164642702725633e-80,2.1432626,88.25976,19.979124,1.0,0.9301848,0.96940947,166,0.1456140350877193
DC1,6,WDFY4,19.302713,5.09619083541184e-83,1.7026373581110957e-79,3.2247434,5.004953,0.5353718,1.0,0.587269,0.9680983,166,0.1456140350877193
DC1,7,TYROBP,-19.073812,4.1678971764238894e-81,1.1935666685513326e-77,-4.8603024,0.7809418,22.683786,0.46385542,0.95585215,0.037452687,166,0.1456140350877193
DC1,8,CPVL,19.046778,6.987410061493751e-81,1.7508702761587967e-77,2.7250457,51.496025,7.7884893,0.9939759,0.7956879,0.9618917,166,0.1456140350877193
DC1,9,CD74,19.023695,1.0855550846395592e-80,2.4178930251871783e-77,1.6008219,350.4937,115.55396,1.0,0.98049283,0.96133196,166,0.1456140350877193
DC1,10,HLA-DPB1,18.95407,4.087259507550484e-80,8.193320408835701e-77,2.3916626,13.10979,2.4982367,1.0,0.71355236,0.9596435,166,0.1456140350877193
DC2,1,CD1C,15.071115,2.5084366286868475e-51,5.028412065865655e-47,4.6532836,9.662085,0.38396615,0.94285715,0.17874396,0.9457925,105,0.09210526315789473
DC2,2,FCER1A,13.8969145,6.613166392568758e-44,6.628376675271666e-40,2.5142539,37.834316,6.622471,0.95238096,0.33816424,0.9110605,105,0.09210526315789473
DC2,3,CLEC10A,13.363399,9.894157833418266e-41,6.611276264290085e-37,3.3383756,8.820153,0.8720169,0.8952381,0.18743962,0.8952795,105,0.09210526315789473
DC2,4,HLA-DQA1,13.104107,3.119124680829616e-39,1.5631493337977619e-35,1.7279863,45.36391,13.6941395,1.0,0.80966187,0.88760984,105,0.09210526315789473
DC2,5,HLA-DQA2,12.845904,9.068636587349978e-38,3.2440917201847906e-34,1.9099888,2.8913155,0.7693635,1.0,0.5903382,0.8799724,105,0.09210526315789473
DC2,6,HLA-DRA,12.840615,9.70994229327983e-38,3.2440917201847906e-34,1.3022369,344.61917,139.74203,1.0,0.98743963,0.87981594,105,0.09210526315789473
DC2,7,HLA-DQB,12.309899,8.012269960965521e-35,2.2944851948216405e-31,1.6657103,57.14005,18.009922,0.9904762,0.8318841,0.8641178,105,0.09210526315789473
DC2,8,HLA-DRB4,12.157778,5.215828871562486e-34,1.30695631949177e-30,1.5143849,27.648802,9.678344,1.0,0.7536232,0.8596181,105,0.09210526315789473
DC2,9,HLA-DRB1,11.922284,9.059014290928769e-33,2.017744449732868e-29,1.1736654,210.97964,93.52593,1.0,0.978744,0.85265243,105,0.09210526315789473
DC2,10,DQ-A1,11.870799,1.6785623357959608e-32,3.364846058336583e-29,1.959895,1.4458549,0.3716529,0.93333334,0.43671498,0.85112953,105,0.09210526315789473
DC3,1,FCER1A,13.243402,4.926624367286987e-40,9.875911206663495e-36,2.119574,32.273697,7.4266567,0.9894737,0.34066987,0.90985644,95,0.08333333333333333
DC3,2,ANXA2,12.178422,4.05043543979868e-34,4.059751441310217e-30,1.0447637,32.525894,15.766091,1.0,0.9100478,0.8768975,95,0.08333333333333333
DC3,3,RNASE2,11.6980095,1.3047829073727533e-31,8.718559387064736e-28,3.4703228,4.844921,0.4371349,0.8105263,0.12822966,0.86202973,95,0.08333333333333333
DC3,4,ANXA1,11.49556,1.3887866122228601e-30,6.959904107154864e-27,1.3519316,28.842632,11.299597,1.0,0.769378,0.85576427,95,0.08333333333333333
DC3,5,GAPDH,11.290831,1.456536170376261e-29,5.839544814272506e-26,0.8832791,47.874146,25.954193,1.0,0.95789474,0.84942836,95,0.08333333333333333
DC3,6,CD1C,11.099121,1.266831465108442e-28,4.232483924927305e-25,1.552814,3.1293852,1.066634,0.8736842,0.1923445,0.84349537,95,0.08333333333333333
DC3,7,CLEC10A,11.082359,1.5279295293767107e-28,4.375553620840792e-25,2.3970618,6.2327547,1.1832936,0.84210527,0.19904307,0.84297657,95,0.08333333333333333
DC3,8,SH3BGRL3,10.577373,3.794494576919876e-26,9.508054786116979e-23,0.7922952,22.627449,13.065648,1.0,0.95502394,0.8273483,95,0.08333333333333333
DC3,9,S100A9,10.553613,4.888082265437832e-26,1.0887388565885198e-22,1.2393129,79.16522,33.532356,1.0,0.6909091,0.82661295,95,0.08333333333333333
DC3,10,CAPG,10.378828,3.095511332610566e-25,6.205262017351141e-22,1.2852155,12.591213,5.1662946,0.9894737,0.7569378,0.8212037,95,0.08333333333333333
DC4,1,FCGR3A,20.812437,3.339308425445363e-96,6.693977669647775e-92,3.734174,74.58744,5.6048927,1.0,0.4697286,0.98602283,182,0.15964912280701754
DC4,2,LST1,19.923117,2.565129137121955e-88,2.5710289341373356e-84,2.395229,22.865995,4.346646,1.0,0.78183717,0.965255,182,0.15964912280701754
DC4,3,AIF1,19.129213,1.4423355430349216e-81,9.637686098559346e-78,1.9498646,29.052828,7.520049,1.0,0.81002086,0.94671535,182,0.15964912280701754
DC4,4,IFITM3,19.006044,1.5198898854324365e-80,6.3408560588787904e-77,2.692175,33.985447,5.2585692,1.0,0.80375785,0.943839,182,0.15964912280701754
DC4,5,AK307192,19.003958,1.5815763890249401e-80,6.3408560588787904e-77,3.423627,5.9193316,0.5516432,0.96153843,0.32463464,0.9437903,182,0.15964912280701754
DC4,6,MTSS1,18.716604,3.625366385126702e-78,1.211234909270831e-74,3.4034603,1.280894,0.12105134,0.989011,0.25991648,0.9370799,182,0.15964912280701754
